"network_name","species1","species2","connection_strength"
"M_AF_001","Cryptodendrum adhaesivum","Amphiprion clarkii","1"
"M_AF_001","Heteractis crispa","Amphiprion clarkii","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion clarkii","1"
"M_AF_001","Heteractis magnifica","Amphiprion clarkii","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion clarkii","1"
"M_AF_001","Heteractis aurora","Amphiprion clarkii","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion clarkii","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion clarkii","1"
"M_AF_001","Macrodactyla doreensis","Amphiprion clarkii","1"
"M_AF_001","Heteractis malu","Amphiprion clarkii","1"
"M_AF_001","Heteractis crispa","Amphiprion akindynos","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion akindynos","1"
"M_AF_001","Heteractis magnifica","Amphiprion akindynos","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion akindynos","1"
"M_AF_001","Heteractis aurora","Amphiprion akindynos","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion akindynos","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion akindynos","1"
"M_AF_001","Heteractis crispa","Amphiprion chrysopterus","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion chrysopterus","1"
"M_AF_001","Heteractis magnifica","Amphiprion chrysopterus","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion chrysopterus","1"
"M_AF_001","Heteractis aurora","Amphiprion chrysopterus","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion chrysopterus","1"
"M_AF_001","Macrodactyla doreensis","Amphiprion chrysopterus","1"
"M_AF_001","Heteractis magnifica","Amphiprion chrysogaster","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion chrysogaster","1"
"M_AF_001","Heteractis aurora","Amphiprion chrysogaster","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion chrysogaster","1"
"M_AF_001","Heteractis crispa","Amphiprion bicinctus","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion bicinctus","1"
"M_AF_001","Heteractis magnifica","Amphiprion bicinctus","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion bicinctus","1"
"M_AF_001","Heteractis aurora","Amphiprion bicinctus","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion bicinctus","1"
"M_AF_001","Heteractis crispa","Amphiprion tricinctus","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion tricinctus","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion tricinctus","1"
"M_AF_001","Heteractis aurora","Amphiprion tricinctus","1"
"M_AF_001","Heteractis crispa","Amphiprion perideraion","1"
"M_AF_001","Heteractis magnifica","Amphiprion perideraion","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion perideraion","1"
"M_AF_001","Macrodactyla doreensis","Amphiprion perideraion","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion allardi","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion allardi","1"
"M_AF_001","Heteractis aurora","Amphiprion allardi","1"
"M_AF_001","Heteractis crispa","Amphiprion melanopus","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion melanopus","1"
"M_AF_001","Heteractis magnifica","Amphiprion melanopus","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion melanopus","1"
"M_AF_001","Heteractis magnifica","Amphiprion ocellaris","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion ocellaris","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion ocellaris","1"
"M_AF_001","Heteractis crispa","Amphiprion percula","1"
"M_AF_001","Heteractis magnifica","Amphiprion percula","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion percula","1"
"M_AF_001","Heteractis crispa","Amphiprion leucokranos","1"
"M_AF_001","Heteractis magnifica","Amphiprion leucokranos","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion leucokranos","1"
"M_AF_001","Heteractis crispa","Amphiprion polymnus","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion polymnus","1"
"M_AF_001","Macrodactyla doreensis","Amphiprion polymnus","1"
"M_AF_001","Heteractis crispa","Amphiprion omanensis","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion omanensis","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion omanensis","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion rubrocinctus","1"
"M_AF_001","Stichodactyla gigantea","Amphiprion rubrocinctus","1"
"M_AF_001","Heteractis crispa","Amphiprion sandaracinos","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion sandaracinos","1"
"M_AF_001","Heteractis magnifica","Amphiprion akallopisos","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion akallopisos","1"
"M_AF_001","Heteractis crispa","Amphiprion ephippium","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion ephippium","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion frenatus","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion fuscocaudatus","1"
"M_AF_001","Heteractis crispa","Amphiprion latezonatus","1"
"M_AF_001","Stichodactyla mertensii","Amphiprion latifasciatus","1"
"M_AF_001","Entacmaea quadricolor","Amphiprion mccullochi","1"
"M_AF_001","Heteractis magnifica","Amphiprion nigripes","1"
"M_AF_001","Stichodactyla haddoni","Amphiprion sebae","1"
"M_AF_001","Entacmaea quadricolor","Premnas biaculeatus","1"
